Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 19.00,    2550824, 0,0.00,44.779, 46.160, 47.838, 45.334,27,  -, -, 0.00%,  0.00%,  0.00%, 0.05%,  0.09%,  0.21%, 0.62%,  0.53%,  1.25%,24.03%, 14.01%, 50.08%, 9.12%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 8737.76, 2691.09, 0.00, 120941.66 , 17, 235, 125.86, 56, 149, 109.96, 105, 227, 146.28, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 99.06%, 0.00%,0.00%, 0.94%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 17145.0, 110.2, 109948.2, 103280.4, 0.0, 0.0, 126530.9, 1.000, 0
1, P-SLICE,    4, 22.00,     854944, 0,1.48,40.461, 45.031, 46.513, 41.789,24, 0 , -, 0.00%,  0.00%,  0.00%, 0.30%,  0.27%,  1.94%, 5.28%,  2.10%, 20.91%, 8.14%,  3.50%, 34.53%, 0.00%,  0.00%,  0.05%,  4.36%, 12.43%,  0.00%,  0.06%,  1.75%,  2.26%,  0.00%,  0.04%,  1.06%,  1.04%, 24573.86, 3656.92, 0.00, 124919.07 , 17, 235, 124.31, 58, 148, 110.47, 108, 220, 146.69, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 94.56%, 3.72%,0.00%, 1.15%, 0.57%, 0.00%, 0.00%, 0.00%, 0.00%, 79.79%, 7.91%,0.00%, 11.18%, 1.11%, 0.00%, 0.00%, 0.00%, 0.00%, 72.46%, 5.17%,0.00%, 15.58%, 6.78%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 100435.0, 890.6, 58458.3, 54913.1, 0.0, 0.0, 285607.1, 1.000, 0
2, B-SLICE,    2, 23.00,     444344, 0,1.51,40.106, 44.970, 46.378, 41.498,27, 0 ,4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.13%, 11.78%, 21.92%, 43.77%,  0.00%,  1.67%,  1.96%,  4.16%,  0.10%,  5.03%,  3.72%,  5.76%, 27203.84, 3717.48, 0.00, 162452.16 , 17, 235, 125.25, 58, 149, 110.09, 103, 226, 146.37, 0.00%, 43.75%,0.00%, 50.00%, 6.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 36.24%,0.00%, 45.36%, 18.40%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 20.59%,0.00%, 44.43%, 34.98%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 17.34%,0.00%, 39.40%, 43.26%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 136.7, 16.5, 45439.8, 42913.6, 0.0, 0.0, 331522.5, 1.000, 0
3, b-SLICE,    1, 24.00,     276136, 0,1.54,39.903, 44.940, 46.292, 41.332,29, 0 ,2 4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.17%, 14.05%, 18.53%, 36.83%,  0.00%,  3.03%,  2.88%,  4.12%,  0.05%,  7.20%,  5.13%,  8.02%, 28223.02, 3727.43, 0.00, 108467.34 , 17, 235, 125.79, 57, 151, 110.04, 106, 227, 146.19, 0.00%, 23.08%,0.00%, 76.92%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 42.13%,0.00%, 41.77%, 16.10%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 30.18%,0.00%, 43.09%, 26.74%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 22.86%,0.00%, 41.73%, 35.41%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 135.4, 2.8, 44916.4, 42565.6, 0.0, 0.0, 376733.6, 1.000, 0
4, b-SLICE,    3, 24.00,     273048, 0,1.50,39.918, 44.808, 46.098, 41.301,28, 2 0 ,4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.67%,  8.33%, 17.19%, 39.22%,  0.00%,  1.68%,  1.85%,  3.67%,  1.34%, 10.07%,  6.30%,  9.68%, 27532.79, 3870.58, 0.00, 85807.18 , 17, 235, 124.77, 56, 149, 110.30, 103, 220, 146.53, 0.00%, 66.67%,0.00%, 29.63%, 3.70%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 58.50%,0.00%, 25.07%, 16.43%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 32.16%,0.00%, 36.57%, 31.27%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 23.40%,0.00%, 39.51%, 37.09%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 125.8, 0.6, 43779.9, 41532.0, 0.0, 0.0, 420319.4, 1.000, 0
5, P-SLICE,    8, 22.00,     742000, 0,1.48,40.595, 45.095, 46.534, 41.900,24, 4 2 0 , -, 0.00%,  0.00%,  0.00%, 0.80%,  0.54%,  2.82%, 2.98%,  1.36%, 10.13%, 7.24%,  2.63%, 28.75%, 0.00%,  0.04%,  5.60%, 11.10%, 19.91%,  0.00%,  0.10%,  0.85%,  2.35%,  0.00%,  0.23%,  0.80%,  1.76%, 23335.03, 3628.53, 0.00, 119469.95 , 17, 235, 124.36, 56, 150, 110.71, 104, 219, 146.64, 0.00%, 0.00%,0.00%, 100.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 41.17%, 3.29%,0.00%, 32.55%, 23.00%, 0.00%, 0.00%, 0.00%, 0.00%, 53.16%, 6.05%,0.00%, 22.41%, 18.38%, 0.00%, 0.00%, 0.00%, 0.00%, 59.30%, 6.31%,0.00%, 17.95%, 16.43%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 25016.2, 638.6, 73430.3, 69457.7, 0.0, 0.0, 518612.8, 1.000, 0
6, B-SLICE,    6, 23.00,     447648, 0,1.46,40.138, 44.876, 46.156, 41.483,27, 4 2 0 ,8 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.47%, 11.20%, 19.89%, 43.79%,  0.00%,  1.61%,  1.26%,  3.44%,  0.36%,  5.87%,  4.94%,  7.16%, 26071.35, 3839.64, 0.00, 161677.91 , 17, 235, 124.21, 57, 154, 110.66, 107, 219, 146.77, 0.00%, 43.40%,0.00%, 45.28%, 11.32%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 40.03%,0.00%, 34.29%, 25.68%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 23.76%,0.00%, 36.58%, 39.66%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 18.22%,0.00%, 40.13%, 41.65%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 8.1, 0.2, 56792.1, 53982.2, 0.0, 0.0, 575726.1, 1.000, 0
7, b-SLICE,    5, 24.00,     292144, 0,1.47,39.908, 44.776, 46.028, 41.281,29, 4 2 ,6 8 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  1.11%,  9.80%, 18.49%, 41.34%,  0.00%,  1.63%,  2.18%,  4.25%,  0.89%,  7.53%,  5.24%,  7.55%, 27437.99, 3903.75, 0.00, 72469.63 , 17, 235, 123.96, 56, 148, 110.63, 107, 219, 146.82, 0.00%, 44.55%,0.00%, 50.00%, 5.45%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 48.33%,0.00%, 37.42%, 14.26%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 28.64%,0.00%, 39.92%, 31.44%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 20.52%,0.00%, 41.73%, 37.75%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 124.8, 0.8, 52211.1, 49484.2, 0.0, 0.0, 628222.3, 1.000, 0
8, b-SLICE,    7, 24.00,     286560, 0,1.47,39.909, 44.815, 46.052, 41.290,28, 6 4 2 ,8 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  1.51%,  9.09%, 20.00%, 40.43%,  0.00%,  1.13%,  1.77%,  3.28%,  2.71%,  5.92%,  5.64%,  8.52%, 27421.75, 3878.22, 0.00, 90513.47 , 17, 235, 124.53, 58, 156, 110.64, 107, 219, 146.73, 0.00%, 64.14%,0.00%, 26.26%, 9.60%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 43.67%,0.00%, 32.72%, 23.61%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 27.04%,0.00%, 39.63%, 33.33%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 20.58%,0.00%, 38.41%, 41.01%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 1.1, 0.2, 52053.4, 49577.6, 0.0, 0.0, 679959.8, 1.000, 0
9, P-SLICE,   13, 22.00,     713352, 0,1.54,40.642, 45.063, 46.616, 41.942,23, 8 6 4 , -, 0.00%,  0.00%,  0.00%, 0.67%,  0.60%,  2.88%, 3.04%,  1.33%,  9.69%, 6.96%,  2.21%, 27.63%, 0.00%,  0.12%,  5.00%, 12.19%, 21.25%,  0.00%,  0.10%,  0.71%,  2.40%,  0.01%,  0.19%,  1.05%,  1.97%, 23011.15, 3618.16, 0.00, 109339.35 , 17, 235, 123.88, 57, 144, 110.68, 108, 217, 145.41, 0.00%, 7.69%,0.00%, 76.92%, 15.38%, 0.00%, 0.00%, 0.00%, 0.00%, 43.93%, 3.06%,0.00%, 33.22%, 19.78%, 0.00%, 0.00%, 0.00%, 0.00%, 50.18%, 6.29%,0.00%, 22.00%, 21.52%, 0.00%, 0.00%, 0.00%, 0.00%, 56.70%, 6.73%,0.00%, 20.03%, 16.53%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 24728.6, 836.4, 80937.9, 76739.2, 0.0, 0.0, 785530.5, 1.000, 0
