Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 29.00,     869248, 0,0.00,37.074, 38.917, 41.139, 37.812,31,  -, -, 0.00%,  0.00%,  0.00%, 0.79%,  1.04%,  1.21%, 3.81%,  2.71%,  9.42%,11.87%,  6.59%, 35.04%,27.53%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 53230.49, 14262.33, 0.00, 471060.62 , 0, 255, 113.51, 19, 176, 117.14, 90, 232, 136.18, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.39%, 0.00%,0.00%, 2.61%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 32332.5, 216.3, 205012.1, 188948.1, 0.0, 0.0, 236613.9, 1.000, 0
1, P-SLICE,    1, 32.00,      61992, 0,0.00,35.878, 38.407, 40.757, 36.804,31, 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.06%,  0.06%,  0.38%, 0.88%,  0.48%,  2.95%, 0.00%,  0.27%,  6.35%, 14.31%, 18.57%,  0.00%,  1.29%,  4.70%,  5.71%,  0.99%, 14.17%, 17.16%, 11.68%, 69716.24, 15208.42, 0.00, 99757.35 , 0, 255, 113.48, 18, 180, 117.22, 91, 232, 136.14, 0.00%, 78.79%,0.00%, 13.64%, 7.58%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 70.88%,0.00%, 16.04%, 13.08%, 0.00%, 0.00%, 0.00%, 0.00%, 1.35%, 59.63%,0.00%, 24.60%, 14.43%, 0.00%, 0.00%, 0.00%, 0.00%, 9.59%, 38.79%,0.00%, 31.49%, 20.12%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 35445.6, 66113.2, 166498.6, 160206.4, 0.0, 0.0, 266618.0, 1.000, 0
2, P-SLICE,    2, 32.00,      78776, 0,0.00,35.745, 38.341, 40.616, 36.678,31, 1 0 , -, 0.00%,  0.00%,  0.00%, 0.02%,  0.00%,  0.02%, 0.11%,  0.06%,  0.36%, 1.36%,  0.53%,  3.78%, 0.00%,  1.15%,  8.16%, 16.42%, 28.79%,  0.00%,  0.72%,  3.10%,  7.65%,  3.76%,  4.31%,  6.82%, 12.87%, 71806.76, 15548.32, 0.00, 103442.97 , 0, 255, 113.39, 20, 177, 117.26, 91, 232, 136.16, 0.00%, 76.62%,0.00%, 12.55%, 10.82%, 0.00%, 0.00%, 0.00%, 0.00%, 0.32%, 38.04%,0.00%, 33.55%, 28.09%, 0.00%, 0.00%, 0.00%, 0.00%, 1.98%, 36.92%,0.00%, 36.21%, 24.90%, 0.00%, 0.00%, 0.00%, 0.00%, 9.44%, 34.16%,0.00%, 33.88%, 22.52%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 38661.5, 121994.6, 160550.3, 152380.1, 0.0, 0.0, 319406.8, 1.000, 0
3, P-SLICE,    3, 32.00,      85384, 0,0.00,35.640, 38.291, 40.513, 36.581,31, 2 1 0 , -, 0.00%,  0.00%,  0.00%, 0.02%,  0.02%,  0.00%, 0.13%,  0.04%,  0.49%, 0.97%,  0.42%,  3.99%, 0.00%,  1.12%,  7.83%, 16.29%, 28.02%,  0.00%,  0.74%,  3.46%,  6.90%,  4.03%,  3.12%,  7.36%, 15.06%, 73346.14, 15786.08, 0.00, 104897.66 , 0, 255, 113.31, 20, 181, 117.22, 91, 232, 136.18, 0.00%, 78.28%,0.00%, 10.66%, 11.07%, 0.00%, 0.00%, 0.00%, 0.00%, 0.36%, 32.91%,0.00%, 33.81%, 32.91%, 0.00%, 0.00%, 0.00%, 0.00%, 2.36%, 38.98%,0.00%, 31.23%, 27.43%, 0.00%, 0.00%, 0.00%, 0.00%, 8.90%, 36.35%,0.00%, 32.33%, 22.42%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 41859.2, 188126.4, 156935.5, 147275.2, 0.0, 0.0, 384822.2, 1.000, 0
4, P-SLICE,    4, 32.00,      84328, 0,0.00,35.543, 38.201, 40.387, 36.481,31, 3 2 1 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.02%,  0.06%, 0.02%,  0.09%,  0.34%, 0.90%,  0.32%,  3.31%, 0.00%,  1.08%,  7.66%, 16.80%, 28.15%,  0.00%,  0.69%,  3.53%,  7.81%,  4.15%,  3.61%,  8.19%, 13.27%, 74850.87, 16173.15, 0.00, 101726.27 , 0, 255, 113.19, 19, 178, 117.21, 90, 231, 136.14, 0.00%, 79.42%,0.00%, 11.93%, 8.64%, 0.00%, 0.00%, 0.00%, 0.00%, 0.71%, 35.71%,0.00%, 30.89%, 32.68%, 0.00%, 0.00%, 0.00%, 0.00%, 1.56%, 40.46%,0.00%, 33.33%, 24.65%, 0.00%, 0.00%, 0.00%, 0.00%, 7.70%, 35.77%,0.00%, 32.88%, 23.65%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 45046.6, 242477.1, 155059.6, 145763.7, 0.0, 0.0, 440218.9, 1.000, 0
5, P-SLICE,    5, 32.00,      83160, 0,0.00,35.444, 38.180, 40.308, 36.394,31, 4 3 2 , -, 0.00%,  0.00%,  0.00%, 0.04%,  0.00%,  0.09%, 0.18%,  0.02%,  0.40%, 0.73%,  0.31%,  3.03%, 0.00%,  1.25%,  7.37%, 15.59%, 27.86%,  0.00%,  0.73%,  3.63%,  7.87%,  4.31%,  3.65%,  8.14%, 14.82%, 76509.68, 16285.33, 0.00, 103256.54 , 0, 255, 113.09, 19, 178, 117.24, 90, 232, 136.16, 0.00%, 77.47%,0.00%, 12.25%, 10.28%, 0.00%, 0.00%, 0.00%, 0.00%, 1.11%, 36.85%,0.00%, 30.37%, 31.67%, 0.00%, 0.00%, 0.00%, 0.00%, 2.12%, 42.09%,0.00%, 31.00%, 24.78%, 0.00%, 0.00%, 0.00%, 0.00%, 6.79%, 37.89%,0.00%, 35.50%, 19.82%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 48257.1, 291272.1, 158831.5, 150432.7, 0.0, 0.0, 495703.4, 1.000, 0
6, P-SLICE,    6, 32.00,      78408, 0,0.00,35.378, 38.130, 40.262, 36.333,31, 5 4 3 , -, 0.00%,  0.00%,  0.00%, 0.07%,  0.00%,  0.11%, 0.04%,  0.02%,  0.45%, 0.79%,  0.20%,  2.65%, 0.00%,  1.15%,  7.79%, 15.59%, 26.89%,  0.00%,  0.67%,  3.08%,  6.78%,  4.29%,  4.78%,  8.76%, 15.88%, 77598.63, 16494.11, 0.00, 98416.10 , 0, 255, 112.97, 18, 178, 117.17, 89, 232, 136.16, 0.00%, 78.93%,0.00%, 14.05%, 7.02%, 0.00%, 0.00%, 0.00%, 0.00%, 1.34%, 40.64%,0.00%, 27.76%, 30.27%, 0.00%, 0.00%, 0.00%, 0.00%, 1.85%, 42.36%,0.00%, 32.56%, 23.23%, 0.00%, 0.00%, 0.00%, 0.00%, 6.21%, 38.69%,0.00%, 35.20%, 19.90%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 51445.9, 343593.7, 156213.3, 148245.4, 0.0, 0.0, 548252.8, 1.000, 0
7, P-SLICE,    7, 32.00,      61768, 0,0.00,35.387, 38.094, 40.244, 36.332,31, 6 5 4 , -, 0.00%,  0.00%,  0.00%, 0.03%,  0.00%,  0.03%, 0.18%,  0.00%,  0.26%, 1.06%,  0.26%,  1.55%, 0.00%,  1.40%,  8.68%, 13.93%, 28.15%,  0.00%,  1.27%,  2.67%,  7.04%,  5.72%,  4.35%,  8.03%, 15.38%, 77347.75, 16576.44, 0.00, 95284.73 , 0, 255, 112.90, 19, 178, 117.22, 89, 232, 136.19, 0.00%, 80.36%,0.00%, 10.55%, 9.09%, 0.00%, 0.00%, 0.00%, 0.00%, 0.36%, 39.17%,0.00%, 33.94%, 26.53%, 0.00%, 0.00%, 0.00%, 0.00%, 1.76%, 42.67%,0.00%, 32.75%, 22.83%, 0.00%, 0.00%, 0.00%, 0.00%, 4.82%, 37.59%,0.00%, 36.15%, 21.44%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 54646.7, 397861.4, 140478.2, 134193.4, 0.0, 0.0, 589686.7, 1.000, 0
8, P-SLICE,    8, 32.00,      67080, 0,0.00,35.485, 38.165, 40.330, 36.426,31, 7 6 5 , -, 0.00%,  0.00%,  0.00%, 0.02%,  0.00%,  0.02%, 0.17%,  0.07%,  0.39%, 0.65%,  0.24%,  2.01%, 0.00%,  1.64%,  7.72%, 15.82%, 27.89%,  0.00%,  0.99%,  3.75%,  7.76%,  4.89%,  3.77%,  7.91%, 14.27%, 75746.35, 16301.79, 0.00, 94232.43 , 0, 255, 112.87, 20, 180, 117.22, 90, 232, 136.17, 0.00%, 74.81%,0.00%, 15.56%, 9.63%, 0.00%, 0.00%, 0.00%, 0.00%, 0.39%, 38.03%,0.00%, 37.26%, 24.32%, 0.00%, 0.00%, 0.00%, 0.00%, 2.24%, 41.48%,0.00%, 35.37%, 20.91%, 0.00%, 0.00%, 0.00%, 0.00%, 4.95%, 37.58%,0.00%, 36.47%, 21.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 57818.3, 450285.5, 142529.5, 135831.0, 0.0, 0.0, 647068.7, 1.000, 0
9, P-SLICE,    9, 32.00,      75608, 0,0.00,35.475, 38.157, 40.302, 36.414,31, 8 7 6 , -, 0.00%,  0.00%,  0.00%, 0.02%,  0.00%,  0.07%, 0.12%,  0.05%,  0.40%, 0.70%,  0.42%,  2.44%, 0.00%,  1.28%,  8.97%, 16.48%, 27.57%,  0.00%,  0.58%,  3.07%,  7.00%,  4.46%,  4.14%,  8.11%, 14.13%, 76013.73, 16335.34, 0.00, 98814.55 , 0, 255, 112.74, 18, 178, 117.20, 91, 232, 136.16, 0.00%, 77.73%,0.00%, 9.72%, 12.55%, 0.00%, 0.00%, 0.00%, 0.00%, 0.67%, 34.23%,0.00%, 34.40%, 30.69%, 0.00%, 0.00%, 0.00%, 0.00%, 1.98%, 39.62%,0.00%, 32.54%, 25.86%, 0.00%, 0.00%, 0.00%, 0.00%, 6.15%, 36.54%,0.00%, 36.21%, 21.10%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 3251.4, 322418.9, 146707.6, 138656.8, 0.0, 0.0, 706149.3, 1.000, 0
